#Gene_name	pLi	pRec	pNull	Gene_full_name	Function_description	Disease_description	Tissue_specificity(Uniprot)	Expression(egenetics)	Expression(GNF/Atlas)	P(HI)	P(rec)	RVIS	RVIS_percentile	GDI	GDI-Phred
ABAT	0.374368506048295	0.625536380966326	9.51129853789557e-05	4-aminobutyrate aminotransferase	FUNCTION: Catalyzes the conversion of gamma-aminobutyrate and L- beta-aminoisobutyrate to succinate semialdehyde and methylmalonate semialdehyde, respectively. Can also convert delta-aminovalerate and beta-alanine.; 	.	TISSUE SPECIFICITY: Liver > pancreas > brain > kidney > heart > placenta.; 	lymphoreticular;ovary;salivary gland;intestine;colon;parathyroid;fovea centralis;skin;retina;uterus;prostate;optic nerve;whole body;frontal lobe;oesophagus;endometrium;bone;thyroid;pituitary gland;testis;germinal center;brain;bladder;gall bladder;unclassifiable (Anatomical System);lymph node;cartilage;heart;cerebellum cortex;islets of Langerhans;hypothalamus;pharynx;blood;lens;skeletal muscle;breast;pancreas;lung;adrenal gland;placenta;macula lutea;visual apparatus;hippocampus;liver;spleen;kidney;mammary gland;stomach;	whole brain;amygdala;thalamus;occipital lobe;medulla oblongata;superior cervical ganglion;cerebellum peduncles;hypothalamus;temporal lobe;caudate nucleus;pons;skeletal muscle;subthalamic nucleus;fetal brain;prefrontal cortex;liver;globus pallidus;ciliary ganglion;kidney;parietal lobe;pituitary;cingulate cortex;cerebellum;	0.40997	.	-0.332434268	30.74427931	64.12197	1.64187
ABCA1	0.00165880319635912	0.998341196803411	2.2995914708741e-13	ATP binding cassette subfamily A member 1	FUNCTION: cAMP-dependent and sulfonylurea-sensitive anion transporter. Key gatekeeper influencing intracellular cholesterol transport.; 	DISEASE: High density lipoprotein deficiency 1 (HDLD1) [MIM:205400]: Recessive disorder characterized by absence of high density lipoprotein (HDL) cholesterol from plasma, accumulation of cholesteryl esters, premature coronary artery disease (CAD), hepatosplenomegaly, recurrent peripheral neuropathy and progressive muscle wasting and weakness. {ECO:0000269|PubMed:10431236, ECO:0000269|PubMed:10431237, ECO:0000269|PubMed:10706591, ECO:0000269|PubMed:10938021, ECO:0000269|PubMed:11086027, ECO:0000269|PubMed:11257260, ECO:0000269|PubMed:11476961, ECO:0000269|PubMed:11476965, ECO:0000269|PubMed:11785958, ECO:0000269|PubMed:12111371, ECO:0000269|PubMed:12111381, ECO:0000269|PubMed:12407001, ECO:0000269|PubMed:14576201, ECO:0000269|PubMed:15019541, ECO:0000269|PubMed:15158913, ECO:0000269|PubMed:15262183, ECO:0000269|PubMed:15297675, ECO:0000269|PubMed:15520867}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: High density lipoprotein deficiency 2 (HDLD2) [MIM:604091]: Inherited as autosomal dominant trait. It is characterized by moderately low HDL cholesterol, predilection toward premature coronary artery disease (CAD) and a reduction in cellular cholesterol efflux. {ECO:0000269|PubMed:10431236, ECO:0000269|PubMed:10533863, ECO:0000269|PubMed:10938021, ECO:0000269|PubMed:11086027, ECO:0000269|PubMed:12009425, ECO:0000269|PubMed:12204794, ECO:0000269|PubMed:15722566}. Note=The disease is caused by mutations affecting the gene represented in this entry.; 	TISSUE SPECIFICITY: Widely expressed, but most abundant in macrophages.; 	.	.	0.65897	0.67602	-0.239047284	36.28803963	3823.81697	12.15777
ABCA2	0.999999515728741	4.84271258842093e-07	6.10819372573062e-21	ATP binding cassette subfamily A member 2	FUNCTION: Probable transporter, its natural substrate has not been found yet. May have a role in macrophage lipid metabolism and neural development.; 	.	TISSUE SPECIFICITY: Highly expressed in the brain, whereas lower levels of expression is observed in kidney and liver. {ECO:0000269|PubMed:11309290}.; 	myocardium;ovary;colon;parathyroid;fovea centralis;choroid;skin;retina;bone marrow;prostate;whole body;optic nerve;frontal lobe;endometrium;bone;thyroid;iris;testis;brain;bladder;amygdala;unclassifiable (Anatomical System);lymph node;cartilage;heart;islets of Langerhans;adrenal cortex;blood;lens;breast;lung;placenta;macula lutea;visual apparatus;hippocampus;liver;duodenum;spleen;head and neck;cervix;kidney;mammary gland;stomach;cerebellum;	dorsal root ganglion;amygdala;thalamus;superior cervical ganglion;occipital lobe;medulla oblongata;spinal cord;pons;atrioventricular node;caudate nucleus;subthalamic nucleus;prefrontal cortex;globus pallidus;trigeminal ganglion;cingulate cortex;parietal lobe;cerebellum;	0.34587	0.29822	-4.237700156	0.123849965	470.40443	4.48778
ABCA3	7.47762721295469e-08	0.999990121958511	9.80326521691456e-06	ATP binding cassette subfamily A member 3	FUNCTION: Plays an important role in the formation of pulmonary surfactant, probably by transporting lipids such as cholesterol.; 	DISEASE: Pulmonary surfactant metabolism dysfunction 3 (SMDP3) [MIM:610921]: A rare lung disorder due to impaired surfactant homeostasis. It is characterized by alveolar filling with floccular material that stains positive using the periodic acid- Schiff method and is derived from surfactant phospholipids and protein components. Excessive lipoproteins accumulation in the alveoli results in severe respiratory distress. {ECO:0000269|PubMed:15044640}. Note=The disease is caused by mutations affecting the gene represented in this entry.; 	TISSUE SPECIFICITY: Highly expressed in lung, followed by brain, pancreas, skeletal muscle and heart. Weakly expressed in placenta, kidney and liver. Also expressed in medullary thyroid carcinoma cells (MTC) and in C-cell carcinoma.; 	ovary;colon;fovea centralis;choroid;skin;retina;uterus;prostate;optic nerve;frontal lobe;synovium;testis;brain;unclassifiable (Anatomical System);cartilage;hypothalamus;lens;bile duct;breast;pancreas;lung;macula lutea;hippocampus;visual apparatus;duodenum;kidney;stomach;aorta;	.	0.13416	0.16987	-1.477690451	3.709601321	188.10316	2.97844
ABCA4	1.26762782980402e-28	0.894718807468967	0.105281192531033	ATP binding cassette subfamily A member 4	FUNCTION: In the visual cycle, acts as an inward-directed retinoid flipase, retinoid substrates imported by ABCA4 from the extracellular or intradiscal (rod) membrane surfaces to the cytoplasmic membrane surface are all-trans-retinaldehyde (ATR) and N-retinyl-phosphatidyl-ethanolamine (NR-PE). Once transported to the cytoplasmic surface, ATR is reduced to vitamin A by trans- retinol dehydrogenase (tRDH) and then transferred to the retinal pigment epithelium (RPE) where it is converted to 11-cis-retinal. May play a role in photoresponse, removing ATR/NR-PE from the extracellular photoreceptor surfaces during bleach recovery. {ECO:0000269|PubMed:10075733}.; 	DISEASE: Fundus flavimaculatus (FFM) [MIM:248200]: Autosomal recessive retinal disorder very similar to Stargardt disease. In contrast to Stargardt disease, FFM is characterized by later onset and slowly progressive course. {ECO:0000269|PubMed:11379881, ECO:0000269|PubMed:11385708, ECO:0000269|PubMed:9781034}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Macular degeneration, age-related, 2 (ARMD2) [MIM:153800]: A form of age-related macular degeneration, a multifactorial eye disease and the most common cause of irreversible vision loss in the developed world. In most patients, the disease is manifest as ophthalmoscopically visible yellowish accumulations of protein and lipid that lie beneath the retinal pigment epithelium and within an elastin-containing structure known as Bruch membrane. {ECO:0000269|PubMed:19028736, ECO:0000269|PubMed:9295268}. Note=Disease susceptibility is associated with variations affecting the gene represented in this entry.; DISEASE: Cone-rod dystrophy 3 (CORD3) [MIM:604116]: An inherited retinal dystrophy characterized by retinal pigment deposits visible on fundus examination, predominantly in the macular region, and initial loss of cone photoreceptors followed by rod degeneration. This leads to decreased visual acuity and sensitivity in the central visual field, followed by loss of peripheral vision. Severe loss of vision occurs earlier than in retinitis pigmentosa. {ECO:0000269|PubMed:10958761, ECO:0000269|PubMed:11385708, ECO:0000269|PubMed:11527935}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Retinitis pigmentosa 19 (RP19) [MIM:601718]: A retinal dystrophy belonging to the group of pigmentary retinopathies. Retinitis pigmentosa is characterized by retinal pigment deposits visible on fundus examination and primary loss of rod photoreceptor cells followed by secondary loss of cone photoreceptors. Patients typically have night vision blindness and loss of midperipheral visual field. As their condition progresses, they lose their far peripheral visual field and eventually central vision as well. RP19 is characterized by choroidal atrophy. Note=The disease is caused by mutations affecting the gene represented in this entry.; 	TISSUE SPECIFICITY: Retinal-specific. Seems to be exclusively found in the rims of rod photoreceptor cells.; 	.	.	0.09923	0.38763	0.736662821	86.30573248	3827.03692	12.16874
ABCA5	2.52772496034416e-15	0.99950207064052	0.000497929359477866	ATP binding cassette subfamily A member 5	FUNCTION: May play a role in the processing of autolysosomes. {ECO:0000250}.; 	.	TISSUE SPECIFICITY: Ubiquitously expressed. Highly expressed in testis, skeletal muscle, kidney, liver and placenta. {ECO:0000269|PubMed:12504089, ECO:0000269|Ref.1}.; 	.	.	0.15217	0.11348	0.771533118	86.96036801	3056.32686	10.50775
ABCA6	1.83135791674863e-16	0.979463513500321	0.0205364864996792	ATP binding cassette subfamily A member 6	FUNCTION: Probable transporter which may play a role in macrophage lipid homeostasis.; 	.	TISSUE SPECIFICITY: Widely expressed with higher expression in liver. {ECO:0000269|PubMed:11478798, ECO:0000269|Ref.2}.; 	unclassifiable (Anatomical System);meninges;lymph node;sympathetic chain;skin;skeletal muscle;retina;bone marrow;uterus;pancreas;pia mater;lung;cerebral cortex;thyroid;liver;testis;spleen;dura mater;germinal center;kidney;brain;stomach;	superior cervical ganglion;atrioventricular node;trigeminal ganglion;skin;skeletal muscle;	0.04657	0.10494	0.264439529	70.44114178	4392.04454	13.23776
ABCA7	1.89160398990449e-36	0.000203956692858879	0.999796043307141	ATP binding cassette subfamily A member 7	FUNCTION: Plays a role in phagocytosis by macrophages of apoptotic cells. Binds APOA1 and may function in apolipoprotein-mediated phospholipid efflux from cells. May also mediate cholesterol efflux. May regulate cellular ceramide homeostasis during keratinocytes differentiation. {ECO:0000269|PubMed:12917409, ECO:0000269|PubMed:12925201, ECO:0000269|PubMed:14570867, ECO:0000269|PubMed:14592415}.; 	.	TISSUE SPECIFICITY: Expressed in leukocytes (at protein level). Widely expressed. Highly expressed in myelo-lymphatic tissues including peripheral leukocytes, thymus, spleen and bone marrow. Isoform 2 is more abundant in lymph node, spleen, thymus and trachea than isoform 1 which is more strongly expressed in brain and bone marrow. {ECO:0000269|PubMed:10873640, ECO:0000269|PubMed:11435699, ECO:0000269|PubMed:14592415}.; 	unclassifiable (Anatomical System);smooth muscle;lymph node;blood;fovea centralis;lens;retina;bone marrow;prostate;whole body;lung;bone;placenta;macula lutea;liver;spleen;cervix;germinal center;mammary gland;thymus;	dorsal root ganglion;superior cervical ganglion;	0.05554	0.15483	-2.151227095	1.462609106	5319.06822	15.08136
ABCA8	1.71937025604407e-33	0.000114648963283913	0.999885351036716	ATP binding cassette subfamily A member 8	FUNCTION: ATP-dependent lipophilic drug transporter. {ECO:0000269|PubMed:12379217}.; 	.	TISSUE SPECIFICITY: Widely expressed with higher expression in heart, skeletal muscle and liver. {ECO:0000269|PubMed:12379217}.; 	myocardium;medulla oblongata;sympathetic chain;colon;substantia nigra;skin;retina;prostate;optic nerve;whole body;cochlea;endometrium;iris;pituitary gland;testis;dura mater;spinal ganglion;brain;unclassifiable (Anatomical System);meninges;heart;spinal cord;skeletal muscle;pancreas;pia mater;lung;adrenal gland;trabecular meshwork;visual apparatus;hippocampus;liver;spleen;kidney;mammary gland;stomach;aorta;	dorsal root ganglion;olfactory bulb;ciliary ganglion;atrioventricular node;trigeminal ganglion;	0.05674	.	0.909319045	89.47275301	2117.48181	8.47123
ABCA9	1.27777342298461e-26	0.0898157494072025	0.910184250592798	ATP binding cassette subfamily A member 9	FUNCTION: May play a role in monocyte differentiation and lipid homeostasis. {ECO:0000269|PubMed:12150964}.; 	.	TISSUE SPECIFICITY: Widely expressed with higher expression in heart. {ECO:0000269|Ref.1}.; 	unclassifiable (Anatomical System);cartilage;heart;ovary;islets of Langerhans;skin;skeletal muscle;uterus;lung;cerebral cortex;larynx;liver;testis;head and neck;spleen;kidney;brain;mammary gland;	dorsal root ganglion;superior cervical ganglion;atrioventricular node;trigeminal ganglion;skeletal muscle;	0.07193	.	-0.001957219	53.73319179	5531.81651	15.36212
ABCA9-AS1	.	.	.	ABCA9 antisense RNA 1	.	.	.	.	.	.	.	.	.	.	.
ABCA10	1.20688643660446e-27	0.0119958369911726	0.988004163008827	ATP binding cassette subfamily A member 10	FUNCTION: Probable transporter which may play a role in macrophage lipid homeostasis.; 	.	TISSUE SPECIFICITY: Widely expressed. Highly expressed in skeletal muscle, heart, brain and gastrointestinal tract. {ECO:0000269|PubMed:12821155, ECO:0000269|Ref.1}.; 	unclassifiable (Anatomical System);hypothalamus;fovea centralis;choroid;lens;skeletal muscle;retina;uterus;pancreas;prostate;optic nerve;frontal lobe;cerebral cortex;adrenal gland;macula lutea;liver;testis;germinal center;bladder;aorta;	ciliary ganglion;atrioventricular node;skeletal muscle;	0.10188	.	1.037938929	91.14767634	4332.05343	13.10413
ABCA11P	.	.	.	ATP binding cassette subfamily A member 11, pseudogene	.	.	.	.	.	0.03175	.	.	.	.	.
ABCA12	2.02270864482359e-07	0.999999797728865	2.70254312270528e-13	ATP binding cassette subfamily A member 12	FUNCTION: Probable transporter involved in lipid homeostasis.; 	DISEASE: Ichthyosis, congenital, autosomal recessive 4A (ARCI4A) [MIM:601277]: A form of autosomal recessive congenital ichthyosis, a disorder of keratinization with abnormal differentiation and desquamation of the epidermis, resulting in abnormal skin scaling over the whole body. The main skin phenotypes are lamellar ichthyosis (LI) and non-bullous congenital ichthyosiform erythroderma (NCIE), although phenotypic overlap within the same patient or among patients from the same family can occur. Lamellar ichthyosis is a condition often associated with an embedment in a collodion-like membrane at birth; skin scales later develop, covering the entire body surface. Non-bullous congenital ichthyosiform erythroderma characterized by fine whitish scaling on an erythrodermal background; larger brownish scales are present on the buttocks, neck and legs. {ECO:0000269|PubMed:12915478, ECO:0000269|PubMed:17508018, ECO:0000269|PubMed:18284401, ECO:0000269|PubMed:19262603, ECO:0000269|PubMed:22257947}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Ichthyosis, congenital, autosomal recessive 4B (ARCI4B) [MIM:242500]: A rare, very severe form of congenital ichthyosis, in which the neonate is born with a thick covering of armor-like scales. The skin dries out to form hard diamond-shaped plaques separated by fissures, resembling 'armor plating'. The normal facial features are severely affected, with distortion of the lips (eclabion), eyelids (ectropion), ears, and nostrils. Affected babies are often born prematurely and rarely survive the perinatal period. Babies who survive into infancy and beyond develop skin changes resembling severe non-bullous congenital ichthyosiform erythroderma. {ECO:0000269|PubMed:15756637, ECO:0000269|PubMed:16675967, ECO:0000269|PubMed:16902423}. Note=The disease is caused by mutations affecting the gene represented in this entry.; 	TISSUE SPECIFICITY: Mainly expressed in the stomach, placenta, testis and fetal brain. {ECO:0000269|PubMed:12697999}.; 	unclassifiable (Anatomical System);breast;lung;stomach;	dorsal root ganglion;occipital lobe;superior cervical ganglion;atrioventricular node;pons;skin;skeletal muscle;subthalamic nucleus;globus pallidus;appendix;ciliary ganglion;trigeminal ganglion;parietal lobe;	0.16262	0.15786	-0.299763455	32.26586459	2992.15591	10.38229
